strategy_id,reason,day,n,first_seen_ts,last_seen_ts
baseline_v1,category=not_tradeable_price not in strategy whitelist,2026-05-03,32032,1777767096,1777807680
baseline_v1,category=not_tradeable_sports not in strategy whitelist,2026-05-03,13864,1777767096,1777807678
baseline_v1,category=not_tradeable_price not in strategy whitelist,2026-05-02,9747,1777752684,1777766302
baseline_v1,market not in tradeable_*,2026-05-03,7759,1777767100,1777807510
baseline_v1,category=not_tradeable_sports not in strategy whitelist,2026-05-02,6326,1777752684,1777766302
baseline_v1,category=not_tradeable_weather not in strategy whitelist,2026-05-03,5572,1777767098,1777807678
baseline_v1,price out of bounds: 0.999,2026-05-03,1676,1777767096,1777807678
baseline_v1,category=not_tradeable_social not in strategy whitelist,2026-05-03,1334,1777767100,1777807676
baseline_v1,category=not_tradeable_election not in strategy whitelist,2026-05-03,1310,1777767106,1777807676
baseline_v1,price out of bounds: 0.998,2026-05-03,931,1777767100,1777807506
baseline_v1,category=not_tradeable_weather not in strategy whitelist,2026-05-02,817,1777752684,1777766300
baseline_v1,price out of bounds: 0.001,2026-05-03,713,1777767100,1777807494
baseline_v1,market not in tradeable_*,2026-05-02,712,1777752702,1777766220
baseline_v1,price out of bounds: 0.999,2026-05-02,606,1777752688,1777766298
baseline_v1,price out of bounds: 0.997,2026-05-03,499,1777767096,1777807504
baseline_v1,category=ambiguous not in strategy whitelist,2026-05-03,423,1777767110,1777807678
baseline_v1,price out of bounds: 0.996,2026-05-03,367,1777767116,1777807500
baseline_v1,price out of bounds: 0.002,2026-05-03,365,1777767112,1777806820
baseline_v1,category=not_tradeable_social not in strategy whitelist,2026-05-02,284,1777752686,1777766300
baseline_v1,category=not_tradeable_election not in strategy whitelist,2026-05-02,243,1777752686,1777766298
baseline_v1,price out of bounds: 0.003,2026-05-03,212,1777767174,1777807676
baseline_v1,category=ambiguous not in strategy whitelist,2026-05-02,190,1777752686,1777766258
baseline_v1,price out of bounds: 0.001,2026-05-02,190,1777752686,1777766262
baseline_v1,price out of bounds: 0.998,2026-05-02,169,1777752688,1777766300
baseline_v1,price out of bounds: 0.997,2026-05-02,155,1777752694,1777766298
baseline_v1,price out of bounds: 0.004,2026-05-03,149,1777767140,1777807496
baseline_v1,price out of bounds: 0.996,2026-05-02,134,1777752692,1777766272
baseline_v1,category=tradeable_entertainment_scripted not in strategy whitelist,2026-05-03,98,1777767150,1777807492
baseline_v1,insufficient cash ($0.00 < $10.00),2026-05-03,73,1777767154,1777806614
baseline_v1,category=tradeable_awards not in strategy whitelist,2026-05-03,60,1777767114,1777806794
baseline_v1,"entry_price=0.820 outside [0.1, 0.4)",2026-05-03,44,1777767116,1777804774
baseline_v1,category=tradeable_entertainment_scripted not in strategy whitelist,2026-05-02,43,1777752692,1777766282
baseline_v1,price out of bounds: 0.002,2026-05-02,39,1777752686,1777766294
baseline_v1,category=tradeable_other not in strategy whitelist,2026-05-03,30,1777768966,1777807496
baseline_v1,"entry_price=0.995 outside [0.1, 0.4)",2026-05-02,28,1777759954,1777759976
baseline_v1,"entry_price=0.900 outside [0.1, 0.4)",2026-05-03,23,1777767110,1777796948
baseline_v1,"entry_price=0.830 outside [0.1, 0.4)",2026-05-03,23,1777767170,1777807504
baseline_v1,price out of bounds: 0.004,2026-05-02,22,1777752704,1777766274
baseline_v1,"entry_price=0.960 outside [0.1, 0.4)",2026-05-03,21,1777770792,1777806790
baseline_v1,"entry_price=0.630 outside [0.1, 0.4)",2026-05-03,20,1777770734,1777801404
baseline_v1,"entry_price=0.800 outside [0.1, 0.4)",2026-05-02,20,1777753636,1777766296
baseline_v1,category=tradeable_awards not in strategy whitelist,2026-05-02,20,1777752692,1777766274
baseline_v1,"entry_price=0.910 outside [0.1, 0.4)",2026-05-03,20,1777768930,1777805910
baseline_v1,"entry_price=0.810 outside [0.1, 0.4)",2026-05-03,20,1777767112,1777807498
baseline_v1,"entry_price=0.969 outside [0.1, 0.4)",2026-05-03,19,1777785140,1777790624
baseline_v1,"entry_price=0.790 outside [0.1, 0.4)",2026-05-03,19,1777775268,1777802316
baseline_v1,"entry_price=0.988 outside [0.1, 0.4)",2026-05-03,17,1777777958,1777807504
baseline_v1,"entry_price=0.840 outside [0.1, 0.4)",2026-05-03,17,1777777014,1777806778
baseline_v1,"entry_price=0.975 outside [0.1, 0.4)",2026-05-03,17,1777772556,1777794260
baseline_v1,"entry_price=0.870 outside [0.1, 0.4)",2026-05-03,16,1777768974,1777806782
baseline_v1,"entry_price=0.993 outside [0.1, 0.4)",2026-05-02,16,1777759954,1777759976
baseline_v1,"entry_price=0.976 outside [0.1, 0.4)",2026-05-03,15,1777770726,1777795134
baseline_v1,"entry_price=0.993 outside [0.1, 0.4)",2026-05-03,15,1777768970,1777805902
baseline_v1,"entry_price=0.090 outside [0.1, 0.4)",2026-05-02,15,1777757230,1777759978
baseline_v1,"entry_price=0.940 outside [0.1, 0.4)",2026-05-03,15,1777768016,1777806806
baseline_v1,"entry_price=0.930 outside [0.1, 0.4)",2026-05-03,15,1777768050,1777806788
baseline_v1,"entry_price=0.970 outside [0.1, 0.4)",2026-05-03,14,1777790626,1777799608
baseline_v1,no resolution timestamp known,2026-05-02,14,1777753572,1777764416
baseline_v1,"entry_price=0.008 outside [0.1, 0.4)",2026-05-03,14,1777767098,1777801456
baseline_v1,"entry_price=0.860 outside [0.1, 0.4)",2026-05-03,13,1777772518,1777806786
baseline_v1,"entry_price=0.016 outside [0.1, 0.4)",2026-05-03,13,1777773514,1777777956
baseline_v1,"entry_price=0.520 outside [0.1, 0.4)",2026-05-02,13,1777753574,1777753596
baseline_v1,insufficient cash ($0.00 < $10.00),2026-05-02,12,1777752692,1777765288
baseline_v1,"entry_price=0.026 outside [0.1, 0.4)",2026-05-03,12,1777778872,1777797826
baseline_v1,category=unknown not in strategy whitelist,2026-05-02,12,1777754500,1777754584
baseline_v1,"entry_price=0.974 outside [0.1, 0.4)",2026-05-03,12,1777774322,1777798686
baseline_v1,price out of bounds: 0.003,2026-05-02,12,1777752704,1777766270
baseline_v1,"entry_price=0.400 outside [0.1, 0.4)",2026-05-03,11,1777770782,1777802272
baseline_v1,"entry_price=0.995 outside [0.1, 0.4)",2026-05-03,11,1777781526,1777805684
baseline_v1,"entry_price=0.670 outside [0.1, 0.4)",2026-05-03,11,1777772506,1777805014
baseline_v1,hours_to_res=-493826.7 < 72,2026-05-03,11,1777776108,1777776206
baseline_v1,"entry_price=0.890 outside [0.1, 0.4)",2026-05-03,11,1777784332,1777797808
baseline_v1,"entry_price=0.977 outside [0.1, 0.4)",2026-05-02,11,1777752686,1777759000
baseline_v1,"entry_price=0.050 outside [0.1, 0.4)",2026-05-03,11,1777776124,1777806798
baseline_v1,"entry_price=0.620 outside [0.1, 0.4)",2026-05-02,11,1777755468,1777763578
baseline_v1,"entry_price=0.850 outside [0.1, 0.4)",2026-05-03,11,1777774330,1777806816
baseline_v1,"entry_price=0.019 outside [0.1, 0.4)",2026-05-03,10,1777775298,1777793326
baseline_v1,"entry_price=0.969 outside [0.1, 0.4)",2026-05-02,10,1777759954,1777759954
baseline_v1,price out of bounds: 0.9969999989978283,2026-05-03,10,1777779758,1777795144
baseline_v1,"entry_price=0.975 outside [0.1, 0.4)",2026-05-02,10,1777753680,1777759976
baseline_v1,"entry_price=0.979 outside [0.1, 0.4)",2026-05-03,10,1777773510,1777804772
baseline_v1,"entry_price=0.980 outside [0.1, 0.4)",2026-05-03,10,1777777928,1777795128
baseline_v1,"entry_price=0.991 outside [0.1, 0.4)",2026-05-02,10,1777758166,1777759960
baseline_v1,"entry_price=0.560 outside [0.1, 0.4)",2026-05-03,10,1777775280,1777805680
baseline_v1,hours_to_res=-493827.0 < 72,2026-05-03,10,1777777020,1777777076
baseline_v1,"entry_price=0.640 outside [0.1, 0.4)",2026-05-03,10,1777776126,1777806610
baseline_v1,"entry_price=0.690 outside [0.1, 0.4)",2026-05-02,10,1777757194,1777763484
baseline_v1,"entry_price=0.038 outside [0.1, 0.4)",2026-05-03,10,1777775244,1777794256
baseline_v1,cap reached on this market (n=10),2026-05-03,10,1777777934,1777804986
baseline_v1,"entry_price=0.012 outside [0.1, 0.4)",2026-05-03,10,1777790550,1777801452
baseline_v1,"entry_price=0.920 outside [0.1, 0.4)",2026-05-03,10,1777767164,1777802376
baseline_v1,hours_to_res=-493826.9 < 72,2026-05-03,9,1777777004,1777777016
baseline_v1,"entry_price=0.810 outside [0.1, 0.4)",2026-05-02,9,1777752726,1777761720
